id,max_qtty,grade
1828799,5,A
1841071,5,A
1863964,5,A
1865743,5,A
1867555,5,A
1431333,5,B
1438446,5,B
1464704,5,B
1833702,5,B
1842880,5,B
1393400,5,C
1474600,5,C
1827116,5,C
1855693,5,C
1861628,5,C
1399871,5,D
1477077,5,D
1478180,5,D
1742422,5,D
1822875,5,D
1464704,5,AB
1833702,5,AB
1841071,5,AB
1842880,5,AB
1867555,5,AB
1393400,5,AC
1841071,5,AC
1855693,5,AC
1861628,5,AC
1867555,5,AC
1477077,5,AD
1478180,5,AD
1742422,5,AD
1841071,5,AD
1867555,5,AD
1393400,5,BC
1464704,5,BC
1833702,5,BC
1855693,5,BC
1861628,5,BC
1464704,5,BD
1477077,5,BD
1478180,5,BD
1742422,5,BD
1833702,5,BD
1393400,5,CD
1477077,5,CD
1478180,5,CD
1742422,5,CD
1861628,5,CD
1393400,5,ABC
1833702,5,ABC
1841071,5,ABC
1861628,5,ABC
1867555,5,ABC
1477077,5,ABD
1478180,5,ABD
1833702,5,ABD
1841071,5,ABD
1867555,5,ABD
1477077,5,ACD
1478180,5,ACD
1841071,5,ACD
1861628,5,ACD
1867555,5,ACD
1464704,5,BCD
1477077,5,BCD
1478180,5,BCD
1833702,5,BCD
1861628,5,BCD
1477077,5,ABCD
1478180,5,ABCD
1833702,5,ABCD
1861628,5,ABCD
1867555,5,ABCD
1784490,10,A
1828799,10,A
1830769,10,A
1832570,10,A
1837657,10,A
1841071,10,A
1844584,10,A
1863964,10,A
1865743,10,A
1867555,10,A
1431333,10,B
1438446,10,B
1464422,10,B
1464704,10,B
1483926,10,B
1751061,10,B
1833702,10,B
1842880,10,B
1859053,10,B
1866508,10,B
1369271,10,C
1393400,10,C
1467646,10,C
1474600,10,C
1827116,10,C
1827246,10,C
1855693,10,C
1858957,10,C
1861628,10,C
1864447,10,C
1399871,10,D
1413968,10,D
1419052,10,D
1435441,10,D
1462269,10,D
1477077,10,D
1478180,10,D
1731832,10,D
1742422,10,D
1822875,10,D
1431333,10,AB
1438446,10,AB
1464704,10,AB
1483926,10,AB
1828799,10,AB
1833702,10,AB
1841071,10,AB
1842880,10,AB
1863964,10,AB
1867555,10,AB
1393400,10,AC
1467646,10,AC
1474600,10,AC
1827116,10,AC
1828799,10,AC
1841071,10,AC
1855693,10,AC
1861628,10,AC
1863964,10,AC
1867555,10,AC
1399871,10,AD
1419052,10,AD
1477077,10,AD
1478180,10,AD
1742422,10,AD
1822875,10,AD
1828799,10,AD
1841071,10,AD
1863964,10,AD
1867555,10,AD
1393400,10,BC
1438446,10,BC
1464704,10,BC
1467646,10,BC
1474600,10,BC
1827116,10,BC
1833702,10,BC
1842880,10,BC
1855693,10,BC
1861628,10,BC
1399871,10,BD
1419052,10,BD
1438446,10,BD
1464704,10,BD
1477077,10,BD
1478180,10,BD
1742422,10,BD
1822875,10,BD
1833702,10,BD
1842880,10,BD
1393400,10,CD
1399871,10,CD
1419052,10,CD
1477077,10,CD
1478180,10,CD
1742422,10,CD
1822875,10,CD
1827116,10,CD
1855693,10,CD
1861628,10,CD
1393400,10,ABC
1464704,10,ABC
1474600,10,ABC
1827116,10,ABC
1828799,10,ABC
1833702,10,ABC
1841071,10,ABC
1855693,10,ABC
1861628,10,ABC
1867555,10,ABC
1399871,10,ABD
1464704,10,ABD
1477077,10,ABD
1478180,10,ABD
1742422,10,ABD
1822875,10,ABD
1828799,10,ABD
1833702,10,ABD
1841071,10,ABD
1867555,10,ABD
1393400,10,ACD
1399871,10,ACD
1477077,10,ACD
1478180,10,ACD
1742422,10,ACD
1822875,10,ACD
1828799,10,ACD
1841071,10,ACD
1861628,10,ACD
1867555,10,ACD
1393400,10,BCD
1399871,10,BCD
1464704,10,BCD
1477077,10,BCD
1478180,10,BCD
1742422,10,BCD
1822875,10,BCD
1833702,10,BCD
1842880,10,BCD
1861628,10,BCD
1393400,10,ABCD
1464704,10,ABCD
1477077,10,ABCD
1478180,10,ABCD
1742422,10,ABCD
1822875,10,ABCD
1833702,10,ABCD
1841071,10,ABCD
1861628,10,ABCD
1867555,10,ABCD
1393030,15,A
1765474,15,A
1784490,15,A
1828799,15,A
1830769,15,A
1832570,15,A
1834045,15,A
1837657,15,A
1841071,15,A
1844584,15,A
1849789,15,A
1863964,15,A
1865743,15,A
1866006,15,A
1867555,15,A
1431333,15,B
1436844,15,B
1438446,15,B
1461229,15,B
1464422,15,B
1464704,15,B
1483926,15,B
1485127,15,B
1751061,15,B
1833702,15,B
1842880,15,B
1859053,15,B
1865784,15,B
1866508,15,B
1866766,15,B
1245093,15,C
1369271,15,C
1374615,15,C
1393400,15,C
1417929,15,C
1467646,15,C
1474600,15,C
1733986,15,C
1759355,15,C
1827116,15,C
1827246,15,C
1855693,15,C
1858957,15,C
1861628,15,C
1864447,15,C
1382423,15,D
1399871,15,D
1413968,15,D
1419052,15,D
1424974,15,D
1435441,15,D
1439038,15,D
1462269,15,D
1468148,15,D
1477077,15,D
1478180,15,D
1731832,15,D
1742422,15,D
1761330,15,D
1822875,15,D
1431333,15,AB
1438446,15,AB
1464422,15,AB
1464704,15,AB
1483926,15,AB
1751061,15,AB
1828799,15,AB
1833702,15,AB
1841071,15,AB
1842880,15,AB
1844584,15,AB
1859053,15,AB
1863964,15,AB
1865743,15,AB
1867555,15,AB
1369271,15,AC
1393400,15,AC
1467646,15,AC
1474600,15,AC
1827116,15,AC
1828799,15,AC
1841071,15,AC
1844584,15,AC
1855693,15,AC
1858957,15,AC
1861628,15,AC
1863964,15,AC
1864447,15,AC
1865743,15,AC
1867555,15,AC
1399871,15,AD
1413968,15,AD
1419052,15,AD
1435441,15,AD
1477077,15,AD
1478180,15,AD
1731832,15,AD
1742422,15,AD
1822875,15,AD
1828799,15,AD
1841071,15,AD
1844584,15,AD
1863964,15,AD
1865743,15,AD
1867555,15,AD
1369271,15,BC
1393400,15,BC
1431333,15,BC
1438446,15,BC
1464704,15,BC
1467646,15,BC
1474600,15,BC
1483926,15,BC
1827116,15,BC
1833702,15,BC
1842880,15,BC
1855693,15,BC
1858957,15,BC
1861628,15,BC
1864447,15,BC
1399871,15,BD
1413968,15,BD
1419052,15,BD
1431333,15,BD
1435441,15,BD
1438446,15,BD
1464704,15,BD
1477077,15,BD
1478180,15,BD
1483926,15,BD
1731832,15,BD
1742422,15,BD
1822875,15,BD
1833702,15,BD
1842880,15,BD
1393400,15,CD
1399871,15,CD
1413968,15,CD
1419052,15,CD
1435441,15,CD
1467646,15,CD
1474600,15,CD
1477077,15,CD
1478180,15,CD
1731832,15,CD
1742422,15,CD
1822875,15,CD
1827116,15,CD
1855693,15,CD
1861628,15,CD
1369271,15,ABC
1393400,15,ABC
1464704,15,ABC
1467646,15,ABC
1474600,15,ABC
1827116,15,ABC
1828799,15,ABC
1833702,15,ABC
1841071,15,ABC
1842880,15,ABC
1855693,15,ABC
1858957,15,ABC
1861628,15,ABC
1863964,15,ABC
1867555,15,ABC
1399871,15,ABD
1413968,15,ABD
1419052,15,ABD
1435441,15,ABD
1464704,15,ABD
1477077,15,ABD
1478180,15,ABD
1742422,15,ABD
1822875,15,ABD
